Частота,Канал A,Канал B
(kГц),(В),(В)

35.61973572,0.00046122,0.00020354
35.66741943,0.00015195,0.00019523
35.71510315,0.00027253,0.00020372
35.76278687,0.00027796,0.00015204
35.81047058,0.00013816,0.00014010
35.85815430,0.00022970,0.00032923
35.90583801,0.00029007,0.00032529
35.95352173,0.00018761,0.00026278
36.00120544,0.00013361,0.00029829
36.04888916,0.00021556,0.00025497
36.09657288,0.00041731,0.00008985
36.14425659,0.00041813,0.00013846
36.19194031,0.00015127,0.00029037
36.23962402,0.00010463,0.00025721
36.28730774,0.00012913,0.00013736
36.33499146,0.00010813,0.00032457
36.38267517,0.00016851,0.00031828
36.43035889,0.00022477,0.00031152
36.47804260,0.00095955,0.00042789
36.52572632,0.00577574,0.00047417
36.57341003,0.00932647,0.00039827
36.62109375,0.00547971,0.00018175
