Время,Канал A
(uс),(В)

-250.87997459,1.50029000
-250.71997459,1.63274000
-250.55997459,1.72093900
-250.39997459,1.85338900
-250.23997459,1.94158800
-250.07997459,2.02978600
-249.91997459,2.16223600
-249.75997459,2.20633600
-249.59997459,2.33878600
-249.43997460,2.38288500
-249.27997460,2.47108400
-249.11997460,2.51533600
-248.95997460,2.55943500
-248.79997460,2.64763300
-248.63997460,2.69188500
-248.47997460,2.69188500
-248.31997460,2.73598400
-248.15997460,2.78008400
-247.99997460,2.78008400
-247.83997461,2.82418300
-247.67997461,2.82418300
-247.51997461,2.82418300
-247.35997461,2.82418300
-247.19997461,2.78008400
-247.03997461,2.78008400
-246.87997461,2.73598400
-246.71997461,2.69188500
-246.55997461,2.69188500
-246.39997461,2.60353400
-246.23997462,2.55943500
-246.07997462,2.51533600
-245.91997462,2.42698500
-245.75997462,2.33878600
-245.59997462,2.25043500
-245.43997462,2.16223600
-245.27997462,2.07403800
-245.11997462,1.98568700
-244.95997462,1.89748800
-244.79997462,1.76503800
-244.63997462,1.63274000
-244.47997463,1.54438900
-244.31997463,1.41209100
-244.15997463,1.27964100
-243.99997463,1.14719100
-243.83997463,1.01489300
-243.67997463,0.88244270
-243.51997463,0.75014500
-243.35997463,0.57359540
-243.19997463,0.44114510
-243.03997463,0.30884730
-242.87997464,0.13229770
-242.71997464,0.04394665
-242.55997464,-0.13245030
-242.39997464,-0.30884730
-242.23997464,-0.44129770
-242.07997464,-0.57374800
-241.91997464,-0.70604570
-241.75997464,-0.83849600
-241.59997464,-1.01504600
-241.43997464,-1.14734300
-241.27997465,-1.27979400
-241.11997465,-1.36799200
-240.95997465,-1.54454200
